,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
North American Industry Classification System (NAICS),Retail trade  [44-45],Motor vehicle and parts dealers  [441],Automobile dealers  [4411],New car dealers  [44111],Used car dealers  [44112],Other motor vehicle dealers  [4412],"Automotive parts, accessories and tire stores  [4413]",Furniture and home furnishings stores  [442],Furniture stores  [4421],Home furnishings stores  [4422],Electronics and appliance stores  [443],Building material and garden equipment and supplies dealers  [444],Food and beverage stores  [445],Grocery stores  [4451],Supermarkets and other grocery (except convenience) stores   [44511],Convenience stores  [44512],Specialty food stores  [4452],"Beer, wine and liquor stores  [4453]",Health and personal care stores  [446],Gasoline stations  [447],Clothing and clothing accessories stores  [448],Clothing stores  [4481],Shoe stores  [4482],"Jewellery, luggage and leather goods stores  [4483]","Sporting goods, hobby, book and music stores  [451]",General merchandise stores  [452],Department stores  [4521],Other general merchandise stores  [4529],Miscellaneous store retailers  [453],Cannabis stores  [453993] 6
Jan-96,"18,531,426","4,546,458",..,"3,788,390",..,..,..,"595,512","409,334","186,178","502,697","785,169","4,735,600",..,"3,476,958",..,..,"710,271","1,319,695","1,641,765","1,234,459",..,..,..,"499,114","2,183,724","1,133,116","1,050,608","487,233",..
Feb-96,"18,657,652","4,594,280",..,"3,830,366",..,..,..,"593,504","414,976","178,528","513,471","780,340","4,826,979",..,"3,535,902",..,..,"737,612","1,331,735","1,610,284","1,238,375",..,..,..,"496,544","2,192,289","1,131,931","1,060,358","479,851",..
Mar-96,"18,774,049","4,631,040",..,"3,856,388",..,..,..,"586,386","411,437","174,949","525,311","798,498","4,816,941",..,"3,543,404",..,..,"715,319","1,332,129","1,662,980","1,234,148",..,..,..,"510,479","2,190,329","1,117,127","1,073,202","485,808",..
Apr-96,"18,739,023","4,600,397",..,"3,832,521",..,..,..,"561,453","388,957","172,496","511,777","810,210","4,821,219",..,"3,539,475",..,..,"726,149","1,326,448","1,684,226","1,245,934",..,..,..,"486,708","2,216,744","1,134,138","1,082,606","473,907",..
May-96,"18,758,009","4,469,277",..,"3,715,896",..,..,..,"579,536","399,575","179,961","528,824","825,959","4,801,128",..,"3,514,364",..,..,"729,965","1,335,058","1,735,164","1,274,597",..,..,..,"506,798","2,227,045","1,139,078","1,087,967","474,623",..
Jun-96,"18,977,805","4,652,760",..,"3,874,017",..,..,..,"580,282","392,754","187,528","524,747","847,117","4,771,051",..,"3,485,641",..,..,"728,235","1,339,090","1,723,119","1,280,223",..,..,..,"518,943","2,250,927","1,132,880","1,118,047","489,546",..
Jul-96,"18,914,063","4,627,282",..,"3,852,338",..,..,..,"582,096","398,969","183,127","525,298","849,007","4,860,529",..,"3,584,837",..,..,"723,119","1,332,163","1,660,690","1,258,562",..,..,..,"502,574","2,257,125","1,148,903","1,108,222","458,737",..
Aug-96,"19,071,178","4,618,691",..,"3,838,879",..,..,..,"589,711","405,123","184,588","546,912","873,732","4,937,410",..,"3,633,624",..,..,"740,449","1,298,651","1,658,110","1,261,116",..,..,..,"517,009","2,294,154","1,163,697","1,130,457","475,682",..
Sep-96,"19,019,991","4,642,578",..,"3,853,081",..,..,..,"598,558","408,396","190,162","554,197","893,575","4,846,878",..,"3,560,610",..,..,"728,484","1,294,705","1,639,941","1,256,886",..,..,..,"524,282","2,288,122","1,164,944","1,123,178","480,269",..
Oct-96,"19,488,074","4,817,038",..,"4,001,914",..,..,..,"604,761","413,024","191,737","555,939","917,192","4,981,408",..,"3,668,671",..,..,"737,959","1,322,166","1,674,716","1,293,067",..,..,..,"519,182","2,324,433","1,184,165","1,140,268","478,172",..
